id,title,summary,domain,kind,collection,source,sourceUrl,reach,priority,status
wd-q134875670,72 virgins,Islamic myth,Belief & cosmology,Narrative,Myths,Wikidata,https://www.wikidata.org/wiki/Q134875670,1,False,Discovery lead
wd-q30325279,999 Phone Charging Urban Legend,urban myth,Belief & cosmology,Narrative,Myths,Wikidata,https://www.wikidata.org/wiki/Q30325279,6,False,Discovery lead
wd-q4661658,Aaraattu,"Hindu ritual in Kerala, India",Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q4661658,8,False,Discovery lead
wd-q69089888,abhishek,method of worship in Hinduism and Buddhism,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q69089888,0,False,Discovery lead
wd-q104859198,Abwoi religion,religion of central Nigeria,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q104859198,9,False,Discovery lead
wd-q336450,Abydosfahrt,German term: one of the last parts of the ancient Egyptian burial ritual,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q336450,1,False,Discovery lead
wd-q97308558,Adat Musi,"religion from Talaud Islands, North Sulawesi, Indonesia",Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q97308558,2,False,Discovery lead
wd-q367540,adelphopoiesis,old Christian ceremony to unite two people of the same sex,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q367540,18,False,Discovery lead
wd-q4682594,Adi Dharm,religious movement from mid-19th century Bengal,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q4682594,7,False,Discovery lead
wd-q100989102,Ahacu Alo,Candidate record imported from Wikidata.,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q100989102,0,False,Discovery lead
wd-q63368099,Ahom religion,ethnic religion of the Ahom people,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q63368099,4,False,Discovery lead
wd-q49343,Aji Saka,Story of early Java,Belief & cosmology,Narrative,Legends,Wikidata,https://www.wikidata.org/wiki/Q49343,7,False,Discovery lead
wd-q1493154,Akan religion,Traditional and religious beliefs and practices of the Akan people,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q1493154,9,False,Discovery lead
wd-q138006436,Alawite,Candidate record imported from Wikidata.,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q138006436,1,False,Discovery lead
wd-q2356817,Alexandrian Wicca,Tradition of Wicca founded by Alex Sanders,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q2356817,11,False,Discovery lead
wd-q4723948,Algard Wicca,Candidate record imported from Wikidata.,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q4723948,2,False,Discovery lead
wd-q123692452,"Almo, Idaho Indian massacre myth",Candidate record imported from Wikidata.,Belief & cosmology,Narrative,Myths,Wikidata,https://www.wikidata.org/wiki/Q123692452,1,False,Discovery lead
wd-q56389554,Aluk Todolo,"Folk religion of Toraja tribe, Indonesia",Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q56389554,1,False,Discovery lead
wd-q16931065,Amazighs Christians Donatians,ethnic group,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q16931065,3,False,Discovery lead
wd-q133070609,Americanism,religion of South Korea,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q133070609,0,False,Discovery lead
wd-q4662792,Anatolian religion,religion of Anatolia,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q4662792,1,False,Discovery lead
wd-q16039034,Ancestrality,religion,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q16039034,1,False,Discovery lead
wd-q65295431,ancient druidism,ancient Celtic religion on Great Britain,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q65295431,1,False,Discovery lead
wd-q21028568,Ancient Mesopotamian religion,religion,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q21028568,29,False,Discovery lead
wd-q4272186,Anga,in the eastern parts of India,Belief & cosmology,Narrative,Myths,Wikidata,https://www.wikidata.org/wiki/Q4272186,7,False,Discovery lead
wd-q541235,anglo-catholicism,Anglicanism that emphasises its Catholic heritage,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q541235,24,False,Discovery lead
wd-q43004,animism,religious worldview,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q43004,109,False,Discovery lead
wd-q641922,anointing,ritual act of putting aromatic oil on a person,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q641922,37,False,Discovery lead
wd-q111593059,ant test,Surinamese indigenous ritual,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q111593059,1,False,Discovery lead
wd-q4067214,Antonianism,syncretic Bakongo Catholic movement,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q4067214,8,False,Discovery lead
wd-q120315384,Antzinako euskaldunen erlijioa,Candidate record imported from Wikidata.,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q120315384,1,False,Discovery lead
wd-q4777814,Anupa,Historical Indian region,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q4777814,2,False,Discovery lead
wd-q4780215,Apokpa Marup,Religious denomination of Meitei religion,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q4780215,2,False,Discovery lead
wd-q124796930,Apollo and Diana,divine twins from Roman mythology,Belief & cosmology,Narrative,Myths,Wikidata,https://www.wikidata.org/wiki/Q124796930,0,False,Discovery lead
wd-q80824331,Arará religion,a Voudou related religion indigenous to Cuba,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q80824331,2,False,Discovery lead
wd-q4784420,Arathi,Christian religious movement,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q4784420,2,False,Discovery lead
wd-q4787783,Ardaas,Balmiki Practice,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q4787783,1,False,Discovery lead
wd-q1571949,Ariosophy,"ideological systems of an esoteric nature, pioneered by Guido von List and Jörg Lanz von Liebenfels",Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q1571949,21,False,Discovery lead
wd-q13446873,Arminianism,theological movement,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q13446873,37,False,Discovery lead
wd-q11821099,Arrow driving,Slavic pre-Christian folk custom,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q11821099,2,False,Discovery lead
wd-q16154326,Arti,"Hindu religious ritual of worship, a part of puja, in which light is offered",Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q16154326,29,False,Discovery lead
wd-q22906493,Ashurism,Candidate record imported from Wikidata.,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q22906493,2,False,Discovery lead
wd-q734290,Asouade,penalty and mockery ritual,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q734290,1,False,Discovery lead
wd-q543178,Asperges,liturgical element,Belief & cosmology,Practice,Rituals,Wikidata,https://www.wikidata.org/wiki/Q543178,17,False,Discovery lead
wd-q162691,Assumption of Mary,"the bodily taking up of the Virgin Mary into Heaven at the end of her earthly life, dogma of the Catholic Church",Belief & cosmology,Narrative,Myths,Wikidata,https://www.wikidata.org/wiki/Q162691,78,False,Discovery lead
wd-q34362,Astrology,Celestial positions are interpreted as meaningful for human character and events.,Belief & cosmology,Belief,Priority anchors,Wikidata,https://www.wikidata.org/wiki/Q34362,157,True,Documented
wd-q146107,atenism,monotheistic religion,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q146107,33,False,Discovery lead
wd-q136543160,Atheopaganism,modern pagan religion,Belief & cosmology,Belief,Religions,Wikidata,https://www.wikidata.org/wiki/Q136543160,0,False,Discovery lead
wd-q757719,Atra-Hasis,Akadian creation myth,Belief & cosmology,Narrative,Myths,Wikidata,https://www.wikidata.org/wiki/Q757719,19,False,Discovery lead
